Sun May 26 13:52:55 2024    profile_results

         294071575 function calls (255962084 primitive calls) in 66.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   183222    0.011    0.000    0.011    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:754(__str__)
    29838    0.009    0.000    0.009    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:567(<listcomp>)
    22168    0.008    0.000    0.008    0.000 {built-in method builtins.max}
    88776    0.007    0.000    0.007    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:540(__repr__)
    22013    0.004    0.000    0.004    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:270(<listcomp>)
     8436    0.003    0.000    0.003    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:628(<listcomp>)
     7517    0.003    0.000    0.003    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:788(<listcomp>)
     9507    0.003    0.000    0.003    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:583(<listcomp>)
     4827    0.002    0.000    0.002    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:887(<listcomp>)
     4827    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:889(<listcomp>)
     1614    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:903(<listcomp>)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:96(_showwarnmsg)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:20(_showwarnmsg_impl)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:117(_formatwarnmsg)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:35(_formatwarnmsg_impl)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/linecache.py:26(getline)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/linecache.py:36(getlines)
     4827    0.001    0.000    0.001    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/linecache.py:80(updatecache)
     2127    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:580(<listcomp>)
      109    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:843(<listcomp>)
     1391    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:809(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:9(__init__)
     4827    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:390(open)
      888    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:297(detect_encoding)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:321(read_or_stop)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:205(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       22    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:553(__init__)
       10    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:759(__init__)
       10    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:403(__init__)
        8    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copyreg.py:109(_slotnames)
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        6    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:733(__init__)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:327(find_cookie)
       10    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/ComputerPlayers.py:135(__init__)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/codecs.py:309(__init__)
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:521(__init__)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        8    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:526(play_game)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/codecs.py:260(__init__)


