Thu Sep 26 07:23:36 2024    profile_results

         179182232 function calls (158493215 primitive calls) in 45.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        4    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:759(__init__)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:327(find_cookie)
       10    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:733(__init__)
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/ComputerPlayers.py:135(__init__)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/codecs.py:309(__init__)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:521(__init__)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        9    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:526(play_game)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


